year,circuit,lap,rank,rider,time,gap
2014,AME,1,1,93,2M04.852S,
2014,AME,1,2,99,2M05.248S,0.396S
2014,AME,1,3,26,2M05.461S,0.609S
2014,AME,1,4,29,2M06.227S,1.375S
2014,AME,1,5,35,2M06.525S,1.673S
2014,AME,1,6,6,2M06.892S,2.040S
2014,AME,1,7,4,2M07.416S,2.564S
2014,AME,1,8,46,2M07.840S,2.988S
2014,AME,1,9,38,2M08.054S,3.202S
2014,AME,1,10,44,2M08.332S,3.480S
2014,AME,1,11,19,2M08.728S,3.876S
2014,AME,1,12,41,2M08.921S,4.069S
2014,AME,1,13,68,2M09.334S,4.482S
2014,AME,1,14,45,2M09.664S,4.812S
2014,AME,1,15,69,2M09.973S,5.121S
2014,AME,1,16,7,2M10.639S,5.787S
2014,AME,1,17,5,2M11.832S,6.980S
2014,AME,1,18,70,2M12.405S,7.553S
2014,AME,1,19,63,2M12.916S,8.064S
2014,AME,1,20,23,2M13.596S,8.744S
2014,AME,1,21,9,2M13.882S,9.030S
2014,AME,1,22,17,2M14.157S,9.305S
2014,AME,1,23,8,2M14.788S,9.936S
2014,AME,2,1,93,2M03.636S,
2014,AME,2,2,26,2M03.697S,0.670S
2014,AME,2,3,29,2M04.194S,1.933S
2014,AME,2,4,35,2M04.593S,2.630S
2014,AME,2,5,6,2M04.607S,3.011S
2014,AME,2,6,46,2M04.179S,3.531S
2014,AME,2,7,4,2M04.746S,3.674S
2014,AME,2,8,38,2M04.576S,4.142S
2014,AME,2,9,44,2M04.562S,4.406S
2014,AME,2,10,19,2M04.701S,4.941S
2014,AME,2,11,41,2M05.519S,5.952S
2014,AME,2,12,68,2M06.098S,6.944S
2014,AME,2,13,45,2M05.996S,7.172S
2014,AME,2,14,69,2M06.662S,8.147S
2014,AME,2,15,7,2M07.123S,9.274S
2014,AME,2,16,5,2M07.191S,10.535S
2014,AME,2,17,70,2M07.922S,11.839S
2014,AME,2,18,63,2M07.941S,12.369S
2014,AME,2,19,17,2M07.363S,13.032S
2014,AME,2,20,8,2M07.603S,13.903S
2014,AME,2,21,9,2M08.834S,14.228S
2014,AME,2,22,23,2M09.565S,14.673S
2014,AME,2,23,99,2M28.026S,24.786S
2014,AME,3,1,93,2M03.575S,
2014,AME,3,2,26,2M03.587S,0.682S
2014,AME,3,3,29,2M03.978S,2.336S
2014,AME,3,4,35,2M05.167S,4.222S
2014,AME,3,5,46,2M04.519S,4.475S
2014,AME,3,6,6,2M05.172S,4.608S
2014,AME,3,7,4,2M04.868S,4.967S
2014,AME,3,8,38,2M04.567S,5.134S
2014,AME,3,9,44,2M04.586S,5.41S
2014,AME,3,10,19,2M04.373S,5.73S
2014,AME,3,11,41,2M05.776S,8.15S
2014,AME,3,12,45,2M06.281S,9.87S
2014,AME,3,13,68,2M07.096S,10.46S
2014,AME,3,14,69,2M06.414S,10.98S
2014,AME,3,15,7,2M06.815S,12.51S
2014,AME,3,16,5,2M07.049S,14.00S
2014,AME,3,17,70,2M07.931S,16.19S
2014,AME,3,18,17,2M07.016S,16.47S
2014,AME,3,19,63,2M08.539S,17.33S
2014,AME,3,20,8,2M07.239S,17.56S
2014,AME,3,21,9,2M08.524S,19.17S
2014,AME,3,22,23,2M08.632S,19.73S
2014,AME,3,23,99,2M05.124S,26.33S
2014,AME,4,1,93,2M03.597S,
2014,AME,4,2,26,2M03.698S,0.78S
2014,AME,4,3,29,2M05.412S,4.15S
2014,AME,4,4,46,2M04.363S,5.24S
2014,AME,4,5,6,2M04.852S,5.86S
2014,AME,4,6,4,2M04.933S,6.30S
2014,AME,4,7,35,2M05.875S,6.50S
2014,AME,4,8,38,2M05.244S,6.78S
2014,AME,4,9,44,2M05.137S,6.95S
2014,AME,4,10,19,2M05.006S,7.14S
2014,AME,4,11,41,2M05.810S,10.36S
2014,AME,4,12,45,2M06.340S,12.62S
